City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Sayan,PE,2021-08-07 02:49:18,-11.1361,-77.1933,67.98,66,0,1.77,clear sky
221,Clarksburg,US,2021-08-07 02:48:06,39.2807,-80.3445,75.88,85,1,0.0,clear sky
222,Khatanga,RU,2021-08-07 02:49:18,71.9667,102.5,59.47,47,39,13.42,scattered clouds
223,Porangatu,BR,2021-08-07 02:49:19,-13.4408,-49.1486,71.92,46,62,4.97,broken clouds
224,Saskylakh,RU,2021-08-07 02:44:47,71.9167,114.0833,47.37,78,100,7.45,overcast clouds
225,Yelabuga,RU,2021-08-07 02:49:19,55.7613,52.0649,62.15,59,99,1.57,overcast clouds
226,Vanimo,PG,2021-08-07 02:49:19,-2.6741,141.3028,77.36,86,100,3.29,overcast clouds
227,Deputatskiy,RU,2021-08-07 02:44:48,69.3,139.9,57.56,43,7,4.29,clear sky
228,Lavrentiya,RU,2021-08-07 02:44:02,65.5833,-171.0,45.37,77,100,15.61,light rain
229,Ulaangom,MN,2021-08-07 02:49:20,49.9811,92.0667,63.45,57,100,7.16,overcast clouds
230,Koslan,RU,2021-08-07 02:49:20,63.4564,48.8989,52.41,69,15,3.36,few clouds
231,Podporozhye,RU,2021-08-07 02:49:20,60.9112,34.1706,53.42,92,93,9.57,overcast clouds
232,Lazaro Cardenas,MX,2021-08-07 02:49:21,17.9583,-102.2,80.01,81,100,4.12,overcast clouds
233,Bethel,US,2021-08-07 02:45:30,41.3712,-73.414,74.71,80,56,4.97,broken clouds
234,Dikson,RU,2021-08-07 02:49:21,73.5069,80.5464,48.49,79,34,10.83,scattered clouds
235,Alamosa,US,2021-08-07 02:49:22,37.4695,-105.87,76.51,27,1,9.22,clear sky
236,Dunedin,NZ,2021-08-07 02:40:56,-45.8742,170.5036,44.8,67,100,21.0,overcast clouds
237,Chegdomyn,RU,2021-08-07 02:49:22,51.1167,133.0167,70.93,85,100,0.98,overcast clouds
238,Harper,LR,2021-08-07 02:49:23,4.375,-7.7169,75.67,76,11,6.4,few clouds
239,Severo-Kurilsk,RU,2021-08-07 02:44:49,50.6789,156.125,55.15,78,100,3.87,overcast clouds
240,Faanui,PF,2021-08-07 02:49:23,-16.4833,-151.75,78.62,68,7,9.13,clear sky
241,Lata,PT,2021-08-07 02:44:50,40.1629,-8.3327,65.05,83,82,1.43,broken clouds
242,Olafsvik,IS,2021-08-07 02:44:50,64.8945,-23.7142,52.48,86,69,2.21,broken clouds
243,Kalisz,PL,2021-08-07 02:49:24,51.7611,18.091,48.72,72,24,7.05,few clouds
244,Causapscal,CA,2021-08-07 02:49:24,48.3542,-67.227,73.94,71,80,7.18,broken clouds
245,Brekstad,NO,2021-08-07 02:49:24,63.687,9.6654,63.01,59,0,13.8,clear sky
246,Manadhoo,MV,2021-08-07 02:49:25,5.7667,73.3833,82.87,77,100,19.62,light rain
247,Vao,NC,2021-08-07 02:49:25,-22.6667,167.4833,67.84,59,91,11.68,overcast clouds
248,Muros,ES,2021-08-07 02:49:26,42.7762,-9.0603,63.23,94,10,7.16,clear sky
249,Bac Lieu,VN,2021-08-07 02:49:26,9.285,105.7244,87.75,64,100,12.82,overcast clouds
250,Kieta,PG,2021-08-07 02:49:27,-6.2167,155.6333,81.68,81,87,6.33,moderate rain
251,Urucara,BR,2021-08-07 02:44:51,-2.5364,-57.76,75.99,78,42,3.38,scattered clouds
252,Sudak,UA,2021-08-07 02:49:27,44.85,34.9667,75.97,61,31,4.45,scattered clouds
253,Chuy,UY,2021-08-07 02:49:28,-33.6971,-53.4616,55.51,93,14,6.15,few clouds
254,Husavik,IS,2021-08-07 02:49:28,66.0449,-17.3389,49.91,79,6,5.39,clear sky
255,Luwingu,ZM,2021-08-07 02:49:28,-10.2621,29.9271,53.28,55,0,3.98,clear sky
256,Seoul,KR,2021-08-07 02:45:12,37.5683,126.9778,90.01,55,0,5.75,clear sky
257,Tekari,IN,2021-08-07 02:49:29,24.9333,84.8333,82.62,71,100,5.21,overcast clouds
258,Talnakh,RU,2021-08-07 02:49:29,69.4865,88.3972,76.71,43,8,5.44,clear sky
259,Kirgiz-Miyaki,RU,2021-08-07 02:49:29,53.6324,54.7979,60.12,55,58,5.91,broken clouds
