City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
626,Zhuhai,CN,87.78,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
630,Jurado,CO,77.23,light rain,7.1053,-77.7641,
634,Pundaguitan,PH,83.84,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
638,Pedasi,PA,78.39,overcast clouds,7.5333,-80.0333,Selina Pedasi
645,Eyl,SO,76.14,broken clouds,7.9803,49.8164,Amiin Hotel
646,Juruti,BR,78.01,broken clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
655,Mingaora,PK,79.16,clear sky,34.7758,72.3625,Burj Al Swat
658,Atambua,ID,83.7,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
660,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
662,Acarau,BR,79.38,few clouds,-2.8856,-40.12,castelo pizzaria
667,Jiangyou,CN,77.49,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
